DateTime,AddedIPs,RemovedIPs
1520855748,4,0
1520856948,1,1
1520858797,2,1
1520860022,4,0
1520860883,1,0
1520862201,2,1
1520864030,0,1
1520865093,1,2
1520865818,1,0
1520866609,1,0
1520867626,4,3
1520869504,3,4
1520870912,1,3
1520871841,3,0
1520874244,3,3
1520874897,1,0
1520876772,2,3
1520880093,5,7
1520880959,2,1
1520881858,2,0
1520883348,2,3
1520884553,2,0
1520885462,3,1
1520887618,5,2
1520889041,4,2
1520890137,1,1
1520891815,1,0
1520892879,1,0
1520894584,3,4
1520896484,5,1
1520897457,2,2
1520898410,1,0
1520901259,1,4
1520902247,1,0
1520903681,1,2
1520904600,0,4
1520905413,1,0
1520907283,1,1
1520908133,1,0
1520908995,2,3
1520910880,5,1
1520911869,2,0
1520914498,0,3
1520916176,5,1
1520917013,1,0
1520918089,2,0
1520919686,1,1
1520920588,4,1
1520922611,3,2
1520924898,2,1
1520926245,2,3
1520928131,1,0
1520928891,1,0
1520929909,0,1
1520931904,4,2
1520933854,1,0
1520934962,2,0
1520935858,2,1
1520937633,7,1
1520939753,1,0
1520941247,5,1
1520943021,4,1
1520944322,3,7
1520945510,3,0
1520946527,3,6
1520948597,1,4
1520951758,5,6
1520952832,2,0
1520953863,1,3
1520954929,3,1
1520955979,3,0
1520957237,2,4
1520957691,1,0
1520958531,1,0
1520959576,1,2
1520960701,4,1
1520962575,4,4
1520963751,1,0
1520964627,1,2
1520965863,3,5
1520966768,3,0
1520969200,16,2
1520970065,4,2
1520970960,1,1
1520971862,6,0
1520972928,2,0
1520975738,8,9
1520976694,1,9
1520977566,2,1
1520978531,1,2
1520979364,3,0
1520980279,2,4
1520981165,1,0
1520982269,2,0
1520983281,1,0
1520984591,2,2
1520986530,2,2
1520987496,1,2
1520988228,2,2
1520989498,2,1
1520990464,2,0
1520992564,4,2
1520993684,2,0
1520994538,1,0
1520995571,1,0
1520997177,3,5
1520998475,2,1
1521000479,2,0
1521002488,0,3
1521003592,0,5
1521004564,1,0
1521005505,2,1
1521007004,0,3
1521008039,4,0
1521008920,2,0
1521010605,2,4
1521011868,1,0
1521013239,4,1
1521014381,3,1
1521015286,4,0
1521017001,1,3
1521017992,3,0
1521018960,2,0
1521019796,0,2
1521020757,1,0
1521022489,7,2
1521023635,8,2
1521024950,3,0
1521025863,4,2
1521026762,3,0
1521027666,1,1
1521029738,6,2
1521030699,0,6
1521032618,3,0
1521033682,4,0
1521034988,2,1
1521036879,2,3
1521037873,1,5
1521038773,1,0
1521043860,9,6
1521045986,5,4
1521046952,3,2
1521048684,3,2
1521049592,3,0
1521051133,3,3
1521053034,2,1
1521054000,1,2
1521054839,15,0
1521056875,0,4
1521058232,2,4
1521059242,3,1
1521060061,2,2
1521061187,2,1
1521062161,5,0
1521063352,3,3
1521065459,0,2
1521067357,4,3
1521069282,2,1
1521070296,0,1
1521071001,1,0
1521072940,3,2
1521073848,2,1
1521074726,2,0
1521076540,3,1
1521077754,0,1
1521079764,2,7
1521081028,0,4
1521082228,1,0
1521083287,2,0
1521084357,2,0
1521085392,3,2
1521086202,0,6
1521088999,2,1
1521090201,3,2
1521091271,1,0
1521093344,2,2
1521094488,1,0
1521095503,1,3
1521096198,2,1
1521097861,1,0
1521098788,1,0
1521099681,0,4
1521101691,0,4
1521102657,0,2
1521104200,0,5
1521105279,2,0
1521107482,4,7
1521108880,29,0
1521109800,18,4
1521110594,8,2
1521111937,3,2
1521113807,0,5
1521115848,4,3
1521117345,3,4
1521119258,5,2
1521120599,0,2
1521121780,3,0
1521123280,3,1
1521124997,2,4
1521126891,3,5
1521127739,2,0
1521128757,3,3
1521131494,9,10
1521132349,2,1
1521133861,2,2
1521135792,3,5
1521136595,2,0
1521137457,2,3
1521140204,8,20
1521141057,2,0
1521141967,1,0
1521143804,4,12
1521144912,2,0
1521146272,5,3
1521148471,3,3
1521149504,6,6
1521151851,3,1
1521153012,2,5
1521154190,2,0
1521155357,1,3
1521157264,4,2
1521159358,5,2
1521160264,0,4
1521160980,2,2
1521162881,3,4
1521164759,5,3
1521166493,1,2
1521167491,2,2
1521168396,3,1
1521170092,6,2
1521171113,1,1
1521171832,2,2
1521173682,2,0
1521174678,1,2
1521176201,5,0
1521178267,6,3
1521179188,3,1
1521180471,2,1
1521181863,2,2
1521182815,1,4
1521183415,1,0
1521184490,1,3
1521186203,3,1
1521187167,5,0
1521188104,3,0
1521189295,1,2
1521191695,2,2
1521192702,1,5
1521193580,1,0
1521195303,2,6
1521197210,0,3
1521199839,3,7
1521200560,3,0
1521202369,2,3
1521204205,4,0
1521205003,1,0
1521206047,1,1
1521206921,1,0
1521207793,0,3
1521209720,3,2
1521211261,4,2
1521212162,1,0
1521213317,3,1
1521214982,5,5
1521216956,8,4
1521218589,2,8
1521220513,5,2
1521221409,0,2
1521222597,2,0
1521223547,5,3
1521224483,2,0
1521225651,5,14
1521227457,3,1
1521228358,3,0
1521229399,0,2
1521231495,4,2
1521233755,8,12
1521234637,1,0
1521236214,2,4
1521237398,0,1
1521238521,3,0
1521242094,5,6
1521243095,5,3
1521243992,3,0
1521244920,0,3
1521245761,1,1
1521246930,1,1
1521248521,1,1
1521249359,2,0
1521250872,2,2
1521252879,2,2
1521257116,8,9
1521258077,3,0
1521258943,3,4
1521260103,1,0
1521261770,0,2
1521263712,3,1
1521267051,3,5
1521268960,1,1
1521270890,1,0
1521272758,2,0
1521274478,0,1
1521275507,0,2
1521276351,2,1
1521277627,0,2
1521278461,3,0
1521279780,3,52
1521280681,3,0
1521281764,4,2
1521283585,3,1
1521285385,2,1
1521286125,3,0
1521287023,0,1
1521287797,0,6
1521288651,3,0
1521289725,2,0
1521291947,3,7
1521292861,5,0
1521293404,0,4
1521294588,3,0
1521296115,2,1
1521297066,3,4
1521297814,1,1
1521299340,1,4
1521300345,2,0
1521301377,4,3
1521303401,3,3
1521304548,4,1
1521305531,2,0
1521306465,1,2
1521307845,4,3
1521310828,1,5
1521311766,0,4
1521312255,1,0
1521314086,1,1
1521315044,2,5
1521316013,1,0
1521316944,0,2
1521318901,2,4
1521321344,4,2
1521322285,1,3
1521324655,0,2
1521326151,1,1
1521327303,2,8
1521328530,1,0
1521330353,4,3
1521332154,7,3
1521333051,1,4
1521333963,2,0
1521334607,1,2
1521335739,1,0
1521337291,4,7
1521339321,2,1
1521340306,1,3
1521340976,3,0
1521342493,2,3
1521345111,9,3
1521345409,2,4
1521346263,1,0
1521346489,1,0
1521347637,4,3
1521350112,19,3
1521351810,2,2
1521353425,4,2
1521355373,9,1
1521356198,3,7
1521358532,1,6
1521360653,2,1
1521361639,4,0
1521363419,10,3
1521364543,1,0
1521366199,10,3
1521367710,6,0
1521369369,4,8
1521371734,8,1
1521372527,10,0
1521374595,28,2
1521375431,5,0
1521376254,4,2
1521377187,1,1
1521377800,2,2
1521378653,1,0
1521379919,2,6
1521380767,1,2
1521382016,4,1
1521382858,3,0
1521383319,1,0
